,DIVIDENDID,EXDATE,PAYDATE,RECORDDATE,ANNOUNCEDDATE,DIVAMOUNT,TRADINGITEMID,EXCHANGEID,CURRENCYID,DIVFREQTYPEID,DIVIDENDTYPEID,SUPPLEMENTALTYPEID,NETAMOUNT,GROSSAMOUNT,DIVIDENDPAYMENTTYPEID,DIVIDENDPAYMENTTYPENAME,SUPPLEMENTALTYPEID,SUPPLEMENTALTYPENAME
60,10621605,2026-01-20,2026-01-23,2026-01-20,2026-01-03,0.10777,127855788,117.0,160.0,1.0,1,1.0,,0.10777,1.0,Cash,1.0,Regular cash dividend
61,10621608,2026-01-20,2026-01-23,2026-01-20,2025-12-30,0.10195,262924178,117.0,160.0,1.0,1,1.0,,0.10195,1.0,Cash,1.0,Regular cash dividend
62,10621601,2026-01-20,2026-01-23,2026-01-20,2025-12-31,0.08758,140526469,117.0,160.0,1.0,1,1.0,,0.08758,1.0,Cash,1.0,Regular cash dividend
63,10621658,2026-01-20,2026-01-23,2026-01-20,2025-12-30,0.18351,325289736,117.0,160.0,1.0,1,1.0,,0.18351,1.0,Cash,1.0,Regular cash dividend
64,10618602,2026-01-14,2026-01-15,2026-01-13,2026-01-14,0.024566,216402434,467.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
65,10612791,2026-01-08,2026-01-09,2026-01-08,2026-01-07,0.111805,267185975,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
66,10612799,2026-01-08,2026-01-09,2026-01-08,2026-01-07,0.012971,1672605353,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
67,10611471,2026-01-05,2026-01-06,2026-01-05,,0.083178,614229167,117.0,160.0,8.0,1,23.0,,,,,23.0,Return of capital
68,10580818,2025-12-31,2026-01-02,2025-12-31,2025-12-30,0.0442357,1867481688,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
69,10584231,2025-12-31,2026-01-05,2025-12-31,2025-12-30,0.072,35609459,117.0,160.0,8.0,1,160.0,,0.072,,,160.0,Other
70,10584202,2025-12-31,2026-01-05,2025-12-31,2025-12-30,0.36,79688207,117.0,160.0,1.0,1,1.0,,0.36,1.0,Cash,1.0,Regular cash dividend
71,10584203,2025-12-31,2026-01-05,2025-12-31,2025-12-30,0.15,82488217,117.0,160.0,1.0,1,1.0,,0.15,1.0,Cash,1.0,Regular cash dividend
72,10601188,2025-12-31,2025-12-31,2025-12-31,,0.0603,274567851,467.0,160.0,1.0,19,1.0,,,1.0,Cash,1.0,Regular cash dividend
73,10599409,2025-12-31,2025-12-31,2025-12-31,,0.0414,587549267,467.0,160.0,1.0,19,1.0,,,1.0,Cash,1.0,Regular cash dividend
74,10584182,2025-12-31,2026-01-05,2025-12-31,2025-07-04,0.18063,1915432002,117.0,160.0,1.0,1,1.0,,0.18063,1.0,Cash,1.0,Regular cash dividend
75,10584179,2025-12-31,2026-01-05,2025-12-31,2025-02-07,0.17953,379584097,117.0,160.0,1.0,1,1.0,,0.17953,1.0,Cash,1.0,Regular cash dividend
76,10584184,2025-12-31,2026-01-05,2025-12-31,2025-02-07,0.18522,1858833819,106.0,160.0,1.0,1,1.0,,0.18522,1.0,Cash,1.0,Regular cash dividend
77,10600302,2025-12-31,2025-12-31,2025-12-31,,0.0519,587549233,467.0,160.0,1.0,19,1.0,,,1.0,Cash,1.0,Regular cash dividend
78,10600768,2025-12-31,2025-12-31,2025-12-31,,0.0325433,54173442,467.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
79,10584199,2025-12-31,2026-01-05,2025-12-31,2025-12-30,0.4,171997608,106.0,160.0,1.0,1,1.0,,0.4,1.0,Cash,1.0,Regular cash dividend
80,10600973,2025-12-31,2026-01-02,2025-12-31,,0.038363,54426106,467.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
81,10584197,2025-12-31,2026-01-05,2025-12-31,2024-12-13,0.31,636811393,117.0,160.0,1.0,1,1.0,,0.31,1.0,Cash,1.0,Regular cash dividend
82,10600782,2025-12-31,2025-12-31,2025-12-31,,0.055,59691714,467.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
83,10584133,2025-12-31,2026-01-05,2025-12-31,2025-01-22,0.0810072,1785209266,117.0,160.0,4.0,1,1.0,,0.0810072,4.0,Rights,1.0,Regular cash dividend
84,10604609,2025-12-31,2025-12-31,2025-12-31,,0.0324978,54845075,467.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
85,10600269,2025-12-31,2025-12-31,2025-12-31,,0.2233562,54843878,467.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
86,10584201,2025-12-31,2026-01-05,2025-12-31,2024-12-13,0.42,113635193,117.0,160.0,1.0,1,1.0,,0.42,1.0,Cash,1.0,Regular cash dividend
87,10589617,2025-12-31,2026-01-07,2025-12-31,2025-02-10,0.19363,423845640,117.0,160.0,1.0,1,1.0,,0.19363,1.0,Cash,1.0,Regular cash dividend
88,10584102,2025-12-31,2026-01-05,2025-12-31,2025-01-06,0.2567,1829444273,117.0,160.0,1.0,1,1.0,,0.2567,1.0,Cash,1.0,Regular cash dividend
89,10580898,2025-12-31,2026-01-05,2025-12-31,2025-12-30,0.5761,1774450930,104.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
90,10584204,2025-12-31,2026-01-05,2025-12-31,2025-12-30,0.12,91793827,117.0,160.0,1.0,1,1.0,,0.12,1.0,Cash,1.0,Regular cash dividend
91,10584189,2025-12-31,2026-01-05,2025-12-31,2025-12-30,0.17,62176356,117.0,160.0,1.0,1,1.0,,0.17,1.0,Cash,1.0,Regular cash dividend
92,10584152,2025-12-31,2026-01-07,2025-12-31,2025-01-20,0.33818,383269681,117.0,160.0,1.0,1,1.0,,0.33818,1.0,Cash,1.0,Regular cash dividend
93,10584177,2025-12-31,2026-01-05,2025-12-31,2025-02-07,0.18869,587641288,117.0,160.0,1.0,1,1.0,,0.18869,1.0,Cash,1.0,Regular cash dividend
94,10599416,2025-12-31,2025-12-31,2025-12-31,,0.0408,587549244,467.0,160.0,1.0,19,1.0,,,1.0,Cash,1.0,Regular cash dividend
95,10601692,2025-12-31,2025-12-31,2025-12-31,,0.0257203,54579633,467.0,160.0,1.0,1,1.0,,,1.0,Cash,1.0,Regular cash dividend
96,10584232,2025-12-31,2026-01-05,2025-12-31,2025-12-30,0.04178,27666967,117.0,160.0,5.0,1,1.0,,,5.0,Multiple Dividends,1.0,Regular cash dividend
